crop,soil_type,Seedling Stage,Moisture (min. % of moisture in soil for healthy growth of crops,Temperature,Humidity,Rainfall in mm (based on humidity and temperature,Result (will rain or not within 2 hrs)
Turmeric,red,flowering,34.19,15.35,46.41,0.78,No
Turmeric,clay,fruit/bulb formation,40.48,26.77,83.55,19.92,Yes
sweet potato,sandy,harvest,25.59,25.25,89.07,19.26,Yes
Paddy (rice),clay,flowering,31.77,23.97,48.8,2.17,Yes
potato,clay,harvest,29.52,17.65,65.67,1.68,No
soyabeans,red,flowering,32.31,18.36,86.29,9.02,Yes
kiwi,clay,maturation,28.77,21.77,55.77,4.95,Yes
Paddy (rice),black,flowering,32.84,22.33,74.75,14.23,Yes
sweet potato,chalky,maturation,28.6,18.87,54.48,2.44,Yes
papaya,black,flowering,35.42,23.79,86.02,6.83,Yes
orange,red,germination,35.76,24.76,47.64,2.43,Yes
soyabeans,loam,flowering,33.85,23.5,84.47,9.21,Yes
Maize (corn),loam,flowering,44.52,26.61,66.47,4.68,Yes
Ginger,red,fruit/bulb formation,40.48,19.58,83.25,17.14,Yes
potato,alluvial,fruit/bulb formation,42.87,15.58,82.04,7.66,Yes
bananas,black,fruit/bulb formation,48.22,15.87,56.64,3.2,Yes
bananas,sandy,germination,32.12,22.58,60.2,1.83,No
tomato,sandy,maturation,20.49,30.57,67.71,3.15,Yes
radish,black,fruit/bulb formation,39.39,24.6,73.85,11.15,Yes
mustard,sandy,germination,29.91,29.72,64.37,4.59,Yes
bananas,loam,maturation,32.53,17.06,71.3,13.61,Yes
Ginger,alluvial,harvest,19.5,15.84,68.71,2.89,Yes
Turmeric,chalky,fruit/bulb formation,50.02,20.94,74.81,12.09,Yes
bananas,loam,harvest,29.5,24.92,86.63,3.86,Yes
peas,sandy,fruit/bulb formation,36.71,17.7,41.61,2.11,Yes
Paddy (rice),red,fruit/bulb formation,48.89,29.8,43.95,4.66,Yes
kiwi,chalky,germination,28.56,30.61,41.01,0.65,No
cabbage,clay,harvest,31.43,19.74,44.56,2.63,Yes
Large Cardamom,alluvial,flowering,35.95,27.5,69.49,0.91,No
Ginger,loam,fruit/bulb formation,47.18,30.79,73.65,2.64,Yes
Paddy (rice),red,maturation,21.12,29.4,55.9,1.93,No
sweet potato,alluvial,harvest,23.37,29.87,64.98,0.88,No
tomato,chalky,harvest,17.17,29.57,67.41,0.62,No
potato,red,harvest,18.59,21.38,74.0,15.41,Yes
soyabeans,loam,germination,30.89,19.71,83.05,3.44,Yes
Large Cardamom,alluvial,fruit/bulb formation,36.7,29.57,74.46,11.56,Yes
Maize (corn),sandy,flowering,40.56,31.84,54.03,2.21,Yes
kiwi,loam,germination,33.68,32.79,71.52,0.09,No
Paddy (rice),clay,flowering,43.9,32.52,75.9,1.72,No
potato,red,maturation,21.63,24.1,49.19,3.61,Yes
peas,black,maturation,34.12,24.96,51.26,2.31,Yes
tomato,sandy,germination,32.22,24.59,45.92,0.99,No
Large Cardamom,clay,flowering,44.12,30.28,82.09,1.07,No
kiwi,black,flowering,35.56,30.34,55.61,1.64,No
beans,alluvial,germination,38.65,29.08,73.16,19.93,Yes
radish,black,fruit/bulb formation,43.77,27.33,76.09,16.5,Yes
Turmeric,clay,flowering,40.31,15.15,67.11,4.57,Yes
cabbage,loam,harvest,13.82,20.1,46.05,3.77,Yes
bananas,alluvial,germination,24.07,27.82,45.17,3.83,Yes
soyabeans,loam,flowering,43.39,25.87,79.74,1.35,No
Maize (corn),loam,harvest,22.93,27.52,77.72,6.24,Yes
papaya,alluvial,fruit/bulb formation,45.52,30.14,88.07,4.22,Yes
papaya,alluvial,germination,27.65,28.0,45.23,4.96,Yes
kiwi,chalky,fruit/bulb formation,39.69,33.37,67.23,3.21,Yes
tomato,black,flowering,42.53,23.6,74.04,2.13,Yes
soyabeans,red,flowering,38.91,31.28,65.31,1.9,No
Paddy (rice),alluvial,harvest,22.58,34.72,60.09,2.69,Yes
soyabeans,loam,fruit/bulb formation,44.29,15.12,41.03,0.27,No
cabbage,black,flowering,39.53,20.75,72.76,10.93,Yes
radish,loam,fruit/bulb formation,40.08,24.87,41.08,4.36,Yes
mustard,clay,fruit/bulb formation,37.04,25.04,40.21,3.86,Yes
soyabeans,chalky,germination,29.43,15.85,84.81,7.14,Yes
potato,chalky,harvest,30.2,24.73,52.21,0.06,No
potato,sandy,flowering,40.97,27.8,52.68,4.27,Yes
Turmeric,sandy,maturation,19.49,22.54,61.57,3.04,Yes
Maize (corn),loam,germination,29.72,33.49,84.16,1.85,No
peas,black,germination,31.65,19.24,86.54,19.46,Yes
radish,red,harvest,26.73,33.77,57.1,1.62,No
orange,loam,flowering,28.96,25.78,58.08,2.66,Yes
cabbage,alluvial,maturation,25.76,27.35,55.91,1.65,No
sweet potato,chalky,harvest,17.91,27.52,63.03,3.59,Yes
peas,loam,germination,29.69,31.65,87.85,0.44,No
Turmeric,alluvial,flowering,42.97,22.49,62.34,3.21,Yes
tomato,chalky,flowering,38.51,26.53,59.11,1.58,No
sweet potato,chalky,fruit/bulb formation,32.42,18.88,55.94,2.57,Yes
Large Cardamom,red,maturation,25.55,23.56,66.79,2.25,Yes
Maize (corn),loam,germination,24.93,27.47,84.07,17.84,Yes
orange,sandy,germination,35.87,23.57,89.82,10.78,Yes
tomato,chalky,fruit/bulb formation,40.98,23.35,79.06,12.58,Yes
bananas,clay,flowering,40.04,28.16,84.84,8.3,Yes
Maize (corn),clay,harvest,22.44,23.06,89.05,7.46,Yes
Large Cardamom,loam,maturation,22.03,17.95,61.88,3.74,Yes
mustard,clay,germination,27.34,26.1,62.34,0.44,No
bananas,loam,germination,34.39,27.82,41.95,4.42,Yes
radish,chalky,maturation,25.24,23.25,47.12,3.61,Yes
radish,red,maturation,32.58,26.86,41.32,4.68,Yes
potato,sandy,flowering,29.51,18.59,62.8,4.07,Yes
tomato,black,harvest,27.53,34.29,55.92,4.38,Yes
peas,black,flowering,28.1,34.29,45.19,2.76,Yes
bananas,red,germination,27.07,24.04,89.71,14.26,Yes
beans,red,germination,31.38,34.55,70.57,2.39,Yes
Ginger,clay,germination,30.69,21.38,70.59,14.74,Yes
Turmeric,clay,fruit/bulb formation,34.68,25.69,86.06,19.36,Yes
Maize (corn),red,harvest,24.3,29.16,87.79,9.24,Yes
sweet potato,sandy,flowering,41.38,17.41,67.9,2.81,Yes
potato,red,fruit/bulb formation,36.83,28.08,45.71,4.1,Yes
radish,black,flowering,38.03,30.49,43.79,4.79,Yes
Turmeric,chalky,harvest,17.25,19.94,85.33,16.6,Yes
cabbage,loam,harvest,16.22,16.57,50.13,4.4,Yes
orange,loam,fruit/bulb formation,46.64,16.35,78.65,8.63,Yes
potato,alluvial,harvest,25.71,21.4,89.7,19.41,Yes
cabbage,chalky,maturation,36.99,27.62,47.04,0.58,No
Paddy (rice),black,flowering,38.22,32.4,45.77,0.44,No
Paddy (rice),loam,harvest,20.97,15.18,60.7,1.73,No
peas,black,germination,28.59,28.99,78.46,5.25,Yes
orange,black,germination,24.83,26.62,61.25,3.77,Yes
orange,sandy,germination,26.5,24.09,81.03,18.3,Yes
potato,sandy,germination,32.51,25.28,64.7,4.78,Yes
radish,chalky,fruit/bulb formation,33.4,24.47,57.86,4.42,Yes
cabbage,alluvial,harvest,26.53,18.42,73.77,8.64,Yes
mustard,red,flowering,28.75,16.31,61.19,1.68,No
Turmeric,red,maturation,32.7,25.66,70.06,7.29,Yes
Paddy (rice),alluvial,harvest,27.58,24.15,74.96,19.9,Yes
Maize (corn),sandy,flowering,47.85,20.59,47.35,1.47,No
orange,black,germination,31.01,19.19,73.94,16.19,Yes
tomato,chalky,maturation,24.02,21.14,46.38,3.59,Yes
mustard,sandy,fruit/bulb formation,39.0,24.4,70.62,4.69,Yes
bananas,red,flowering,41.24,25.83,50.43,4.75,Yes
soyabeans,chalky,flowering,33.5,28.53,59.01,2.1,Yes
Ginger,loam,flowering,32.69,28.03,65.73,3.46,Yes
papaya,clay,harvest,24.79,30.82,55.57,3.2,Yes
radish,black,maturation,23.76,21.08,77.24,16.46,Yes
radish,sandy,germination,26.22,26.95,58.34,3.14,Yes
beans,loam,maturation,35.69,23.94,84.47,15.89,Yes
Large Cardamom,red,flowering,44.41,20.37,60.48,5.0,Yes
sweet potato,alluvial,maturation,24.42,18.73,74.92,7.64,Yes
Turmeric,sandy,germination,29.99,34.75,43.2,0.08,No
beans,chalky,flowering,33.3,33.65,49.71,1.67,No
mustard,sandy,maturation,19.39,21.35,50.14,2.79,Yes
bananas,black,germination,29.6,25.49,81.39,13.11,Yes
sweet potato,alluvial,maturation,19.74,32.45,86.94,2.78,Yes
orange,alluvial,fruit/bulb formation,34.36,18.24,67.75,3.54,Yes
beans,loam,germination,33.47,28.8,80.41,15.04,Yes
papaya,chalky,harvest,19.91,26.15,66.89,1.96,No
sweet potato,chalky,maturation,37.38,27.16,89.25,9.76,Yes
Ginger,sandy,flowering,42.55,16.07,82.79,10.23,Yes
Large Cardamom,clay,harvest,22.95,31.01,54.97,4.19,Yes
papaya,chalky,germination,27.58,23.58,85.29,15.25,Yes
Paddy (rice),chalky,fruit/bulb formation,40.99,16.58,62.02,0.23,No
soyabeans,chalky,maturation,32.1,22.09,54.01,3.12,Yes
sweet potato,loam,fruit/bulb formation,48.42,29.02,46.55,1.46,No
Paddy (rice),chalky,maturation,32.72,34.1,60.92,4.77,Yes
Turmeric,alluvial,maturation,35.3,34.41,49.62,4.23,Yes
tomato,chalky,germination,37.41,23.55,76.9,13.42,Yes
mustard,alluvial,fruit/bulb formation,48.72,34.52,68.36,1.23,No
peas,alluvial,harvest,22.66,26.54,54.61,3.78,Yes
kiwi,loam,harvest,18.01,16.06,58.19,4.63,Yes
Paddy (rice),alluvial,harvest,25.28,19.82,85.74,16.14,Yes
mustard,alluvial,flowering,34.73,29.75,43.69,0.88,No
tomato,loam,fruit/bulb formation,42.93,32.66,72.11,0.45,No
beans,chalky,maturation,30.84,34.29,85.56,2.98,Yes
potato,loam,flowering,34.34,27.84,56.71,2.46,Yes
peas,clay,flowering,42.33,26.84,67.05,0.69,No
bananas,clay,flowering,44.41,23.12,52.19,0.88,No
potato,alluvial,germination,35.95,26.81,85.81,7.48,Yes
bananas,sandy,maturation,22.48,31.9,41.08,0.68,No
Ginger,loam,germination,30.61,26.84,52.89,4.9,Yes
Paddy (rice),clay,fruit/bulb formation,45.92,27.37,64.96,1.67,No
peas,red,harvest,14.6,33.75,56.3,3.62,Yes
potato,sandy,harvest,18.54,26.53,86.28,14.22,Yes
tomato,alluvial,fruit/bulb formation,37.77,21.35,83.83,19.06,Yes
Turmeric,black,germination,23.78,31.55,44.96,1.38,No
radish,clay,fruit/bulb formation,39.56,28.51,75.51,9.68,Yes
mustard,alluvial,germination,26.24,15.51,45.61,3.04,Yes
kiwi,black,germination,21.78,17.4,40.41,3.15,Yes
papaya,black,fruit/bulb formation,37.63,24.71,47.66,1.15,No
Maize (corn),red,maturation,27.48,24.27,57.62,3.56,Yes
peas,clay,flowering,39.0,31.27,41.32,0.68,No
potato,loam,fruit/bulb formation,37.92,23.24,46.8,1.26,No
orange,chalky,flowering,33.93,23.25,72.6,11.28,Yes
potato,loam,flowering,42.34,24.38,65.43,4.19,Yes
Large Cardamom,chalky,maturation,26.15,33.13,86.42,3.2,Yes
Ginger,red,fruit/bulb formation,38.12,18.95,79.53,2.92,Yes
Large Cardamom,clay,harvest,20.92,30.19,48.58,2.46,Yes
Paddy (rice),red,fruit/bulb formation,34.99,15.87,65.87,4.15,Yes
beans,red,maturation,17.71,22.73,54.43,2.69,Yes
mustard,red,harvest,24.01,24.68,55.84,2.42,Yes
Paddy (rice),sandy,flowering,30.79,15.82,46.73,4.26,Yes
Large Cardamom,loam,harvest,24.27,33.61,59.04,0.19,No
Ginger,clay,germination,28.49,15.22,88.67,14.78,Yes
soyabeans,clay,harvest,23.68,29.93,51.01,2.36,Yes
Paddy (rice),black,flowering,33.69,18.73,60.64,0.63,No
Large Cardamom,sandy,harvest,24.06,29.92,78.64,5.86,Yes
orange,red,fruit/bulb formation,38.54,18.72,65.84,1.66,No
Turmeric,chalky,harvest,28.34,22.35,48.73,3.9,Yes
Ginger,sandy,maturation,30.78,17.72,67.52,0.54,No
tomato,sandy,fruit/bulb formation,47.15,33.4,53.92,3.52,Yes
Ginger,loam,harvest,25.39,24.12,60.38,0.59,No
peas,loam,harvest,24.76,20.04,64.26,1.48,No
Ginger,loam,flowering,44.49,25.49,77.18,11.75,Yes
kiwi,sandy,germination,27.69,31.16,62.09,3.5,Yes
tomato,clay,fruit/bulb formation,48.53,33.06,76.17,4.3,Yes
Ginger,black,maturation,26.49,26.62,73.97,2.64,Yes
tomato,clay,germination,31.04,26.12,69.1,2.54,Yes
beans,black,fruit/bulb formation,48.04,16.77,55.93,1.38,No
Maize (corn),alluvial,harvest,29.39,28.27,68.58,1.69,No
Paddy (rice),sandy,flowering,38.04,30.41,66.92,4.93,Yes
sweet potato,loam,flowering,29.02,17.89,59.52,0.93,No
Large Cardamom,chalky,maturation,31.35,23.57,83.46,2.74,Yes
papaya,chalky,germination,27.9,34.16,68.17,2.3,Yes
cabbage,red,flowering,28.42,23.65,76.97,19.1,Yes
Turmeric,alluvial,fruit/bulb formation,49.19,33.12,71.69,3.58,Yes
radish,loam,flowering,31.9,22.18,78.71,12.79,Yes
tomato,red,fruit/bulb formation,49.49,26.23,46.68,1.55,No
papaya,chalky,germination,27.58,16.92,45.8,1.26,No
bananas,chalky,harvest,22.6,34.9,60.61,2.77,Yes
potato,clay,harvest,16.82,15.16,81.57,2.66,Yes
bananas,alluvial,maturation,23.68,32.08,87.2,4.81,Yes
tomato,sandy,germination,30.39,19.91,66.31,4.15,Yes
potato,sandy,maturation,28.52,33.58,45.08,0.18,No
bananas,clay,fruit/bulb formation,45.41,20.62,71.24,16.03,Yes
Large Cardamom,alluvial,flowering,33.67,26.18,69.65,3.89,Yes
Turmeric,loam,harvest,16.93,23.28,45.67,2.65,Yes
soyabeans,loam,harvest,25.21,18.93,47.99,2.29,Yes
radish,black,germination,32.82,21.4,86.5,2.49,Yes
bananas,red,maturation,26.95,34.2,48.13,3.36,Yes
potato,loam,fruit/bulb formation,48.4,16.51,64.7,0.04,No
Turmeric,clay,maturation,29.66,26.84,63.8,2.1,Yes
Ginger,alluvial,fruit/bulb formation,46.36,18.24,56.82,2.92,Yes
Maize (corn),sandy,fruit/bulb formation,51.26,25.76,41.55,0.73,No
orange,black,flowering,27.86,28.8,65.25,2.43,Yes
sweet potato,alluvial,maturation,29.7,27.3,40.27,1.25,No
orange,loam,flowering,39.98,31.26,41.53,0.18,No
radish,loam,flowering,41.09,16.3,79.96,5.58,Yes
Maize (corn),clay,maturation,24.45,24.34,42.95,1.93,No
Ginger,red,fruit/bulb formation,45.75,18.25,78.4,15.01,Yes
kiwi,loam,fruit/bulb formation,35.89,28.89,46.81,4.45,Yes
Turmeric,chalky,harvest,22.18,18.68,44.68,1.28,No
Turmeric,clay,fruit/bulb formation,39.53,18.32,68.88,0.87,No
beans,sandy,harvest,27.9,18.12,68.17,1.63,No
sweet potato,alluvial,maturation,34.88,15.52,73.78,10.34,Yes
orange,clay,maturation,26.2,24.17,42.55,2.5,Yes
cabbage,alluvial,harvest,20.6,24.23,73.5,12.3,Yes
Large Cardamom,black,germination,26.8,18.28,78.45,4.15,Yes
Maize (corn),chalky,fruit/bulb formation,33.42,21.02,55.67,1.84,No
soyabeans,loam,fruit/bulb formation,43.9,20.0,66.85,1.66,No
bananas,clay,flowering,49.01,27.99,73.17,5.28,Yes
bananas,red,fruit/bulb formation,42.54,29.79,85.99,1.52,No
bananas,sandy,maturation,18.32,23.05,56.77,1.39,No
radish,loam,flowering,34.85,28.96,72.36,19.68,Yes
sweet potato,loam,maturation,34.22,28.46,58.32,0.38,No
tomato,sandy,maturation,24.71,17.49,54.41,0.88,No
Large Cardamom,red,germination,29.42,16.7,84.73,15.92,Yes
Ginger,loam,fruit/bulb formation,44.13,20.27,67.38,0.02,No
soyabeans,alluvial,harvest,28.43,17.42,71.14,7.15,Yes
Maize (corn),red,flowering,28.62,18.69,61.98,4.09,Yes
Ginger,chalky,germination,31.5,23.1,85.86,5.53,Yes
sweet potato,red,flowering,38.01,26.78,54.65,0.03,No
mustard,loam,harvest,23.95,19.85,71.3,15.21,Yes
radish,alluvial,germination,29.18,15.53,55.92,4.75,Yes
tomato,red,flowering,38.41,18.28,60.75,0.57,No
Turmeric,loam,germination,33.36,20.72,84.8,10.65,Yes
tomato,black,maturation,22.0,22.45,41.99,2.31,Yes
Turmeric,black,fruit/bulb formation,52.69,26.46,68.06,2.95,Yes
potato,chalky,harvest,24.88,34.56,81.49,1.96,No
potato,black,flowering,35.15,30.15,54.74,1.68,No
peas,alluvial,maturation,24.91,20.62,83.12,11.29,Yes
Large Cardamom,loam,fruit/bulb formation,49.5,26.03,68.99,1.03,No
sweet potato,sandy,maturation,30.02,24.5,83.82,3.15,Yes
Paddy (rice),alluvial,germination,32.97,19.46,64.01,3.53,Yes
tomato,sandy,fruit/bulb formation,43.99,25.45,59.32,1.67,No
potato,loam,fruit/bulb formation,43.53,26.79,79.03,1.33,No
papaya,sandy,fruit/bulb formation,42.46,18.27,70.28,4.89,Yes
beans,red,flowering,36.88,19.35,71.15,13.22,Yes
orange,red,maturation,35.11,23.09,78.11,8.9,Yes
Maize (corn),sandy,maturation,28.24,18.98,66.91,2.76,Yes
kiwi,sandy,maturation,35.18,23.02,59.94,2.14,Yes
bananas,chalky,maturation,33.39,16.51,49.98,2.21,Yes
papaya,chalky,flowering,34.51,20.73,87.49,12.88,Yes
potato,clay,harvest,13.04,31.32,61.71,3.5,Yes
Turmeric,red,maturation,29.46,32.87,81.83,1.22,No
Turmeric,red,harvest,15.54,25.61,78.31,7.23,Yes
kiwi,loam,maturation,21.35,31.5,77.45,0.53,No
Turmeric,sandy,maturation,23.73,29.42,83.09,10.03,Yes
Ginger,red,flowering,38.26,30.1,75.89,3.57,Yes
beans,sandy,germination,24.25,15.98,83.51,19.89,Yes
potato,black,germination,28.75,16.72,46.69,0.23,No
peas,black,germination,36.23,32.43,40.35,0.16,No
kiwi,chalky,fruit/bulb formation,39.67,22.95,63.05,2.14,Yes
papaya,clay,harvest,26.22,34.04,64.19,1.22,No
Turmeric,chalky,maturation,29.63,17.86,72.65,14.27,Yes
cabbage,chalky,harvest,23.29,22.52,78.19,9.1,Yes
tomato,alluvial,harvest,26.7,30.62,67.31,2.52,Yes
tomato,chalky,flowering,30.41,23.16,88.68,12.82,Yes
papaya,loam,germination,32.42,16.99,47.01,2.37,Yes
Maize (corn),sandy,fruit/bulb formation,35.62,22.91,78.53,8.89,Yes
Maize (corn),chalky,maturation,20.0,19.79,54.71,4.32,Yes
beans,loam,germination,28.08,20.28,49.24,1.39,No
soyabeans,sandy,fruit/bulb formation,41.6,21.94,59.15,0.48,No
Turmeric,sandy,maturation,21.03,28.27,49.48,2.2,Yes
soyabeans,sandy,harvest,19.47,15.56,49.27,2.08,Yes
cabbage,red,flowering,44.61,34.36,89.38,0.01,No
tomato,chalky,germination,35.52,28.14,70.31,8.81,Yes
soyabeans,sandy,germination,30.75,29.93,67.66,0.13,No
peas,black,flowering,37.39,28.63,89.82,3.41,Yes
mustard,alluvial,germination,24.42,18.59,77.16,1.63,No
radish,sandy,germination,28.79,33.25,77.43,3.39,Yes
Turmeric,red,flowering,28.7,18.49,43.84,2.92,Yes
Ginger,chalky,germination,28.52,24.1,86.47,17.41,Yes
potato,chalky,germination,36.44,23.75,52.41,4.53,Yes
radish,clay,harvest,25.89,29.25,71.18,7.62,Yes
Paddy (rice),black,maturation,31.59,24.94,55.82,4.7,Yes
mustard,black,harvest,26.81,22.9,50.83,3.25,Yes
Ginger,alluvial,maturation,29.77,25.96,58.04,1.47,No
sweet potato,black,harvest,21.22,18.89,42.48,2.98,Yes
papaya,loam,germination,22.57,26.69,88.99,11.73,Yes
Maize (corn),red,maturation,20.69,33.18,51.12,2.68,Yes
papaya,sandy,harvest,14.81,21.56,70.89,16.22,Yes
beans,red,fruit/bulb formation,41.29,15.42,40.05,1.81,No
radish,red,fruit/bulb formation,34.96,30.22,80.53,4.65,Yes
Paddy (rice),alluvial,harvest,27.29,22.0,75.28,1.64,No
radish,clay,harvest,23.45,19.85,40.25,2.2,Yes
Turmeric,alluvial,harvest,14.91,22.76,79.42,16.06,Yes
Ginger,sandy,germination,26.99,21.51,87.73,14.6,Yes
Ginger,alluvial,harvest,27.39,15.45,73.84,6.61,Yes
orange,loam,harvest,25.62,16.63,58.67,3.88,Yes
Maize (corn),loam,flowering,39.55,26.49,86.48,1.54,No
Maize (corn),sandy,flowering,32.9,24.35,78.97,6.99,Yes
sweet potato,black,flowering,40.32,34.19,79.94,4.0,Yes
tomato,loam,flowering,39.36,29.35,86.91,13.76,Yes
mustard,sandy,harvest,19.45,22.17,55.88,3.77,Yes
papaya,loam,germination,32.76,16.3,64.89,3.4,Yes
beans,chalky,germination,26.06,26.33,73.06,3.86,Yes
Ginger,black,fruit/bulb formation,46.31,16.36,84.98,11.22,Yes
orange,sandy,maturation,33.15,24.91,55.67,1.8,No
cabbage,sandy,harvest,18.2,33.06,49.91,1.37,No
Ginger,chalky,flowering,36.09,24.52,80.84,4.0,Yes
orange,alluvial,harvest,14.27,19.17,41.79,1.58,No
kiwi,loam,flowering,44.02,20.96,78.74,5.78,Yes
tomato,sandy,flowering,28.96,32.29,53.66,4.71,Yes
cabbage,red,fruit/bulb formation,42.89,32.75,75.2,1.38,No
bananas,loam,germination,28.16,23.83,49.18,3.76,Yes
beans,loam,fruit/bulb formation,46.54,26.21,74.46,3.18,Yes
radish,red,flowering,45.79,17.77,43.94,3.39,Yes
papaya,sandy,maturation,34.52,20.77,79.97,13.3,Yes
radish,black,fruit/bulb formation,45.49,31.29,77.21,0.6,No
potato,clay,germination,37.95,28.94,73.53,15.19,Yes
Large Cardamom,clay,flowering,49.03,17.71,73.97,4.56,Yes
papaya,clay,maturation,24.37,26.98,71.54,17.88,Yes
radish,alluvial,flowering,41.83,27.98,76.56,3.48,Yes
mustard,black,germination,33.7,18.61,45.52,2.89,Yes
Ginger,chalky,germination,23.6,31.62,54.59,4.06,Yes
cabbage,clay,maturation,33.45,31.58,44.17,1.66,No
Turmeric,black,fruit/bulb formation,41.59,23.08,52.82,1.74,No
orange,alluvial,flowering,40.7,23.69,55.43,2.69,Yes
Ginger,clay,germination,33.02,31.56,72.57,0.81,No
Turmeric,chalky,harvest,18.16,19.82,44.15,3.59,Yes
beans,clay,fruit/bulb formation,39.85,24.53,51.93,1.52,No
peas,red,fruit/bulb formation,39.75,18.36,81.48,1.8,No
cabbage,red,germination,35.68,28.76,79.43,9.49,Yes
bananas,loam,maturation,19.53,34.67,58.95,1.36,No
papaya,red,flowering,41.42,29.15,40.44,2.49,Yes
tomato,black,harvest,25.31,23.19,46.55,3.0,Yes
Turmeric,red,maturation,28.53,30.87,52.55,3.71,Yes
Large Cardamom,black,germination,36.55,31.51,80.39,1.17,No
radish,loam,germination,29.15,16.38,54.79,1.84,No
sweet potato,sandy,germination,36.42,23.91,52.52,2.71,Yes
sweet potato,sandy,flowering,43.52,24.18,64.35,1.95,No
beans,loam,fruit/bulb formation,37.08,21.55,81.99,1.42,No
cabbage,clay,harvest,27.78,15.53,77.42,2.1,Yes
cabbage,clay,harvest,16.71,27.27,60.0,1.63,No
kiwi,black,germination,30.12,33.92,83.04,2.89,Yes
Large Cardamom,sandy,maturation,24.33,33.28,65.42,1.0,No
Turmeric,red,fruit/bulb formation,42.9,18.97,56.33,3.67,Yes
orange,alluvial,maturation,21.09,31.26,64.11,1.43,No
Maize (corn),black,flowering,41.02,31.4,69.98,4.37,Yes
peas,red,fruit/bulb formation,39.37,19.72,47.88,2.51,Yes
Turmeric,chalky,maturation,22.57,29.81,54.85,3.3,Yes
Large Cardamom,chalky,maturation,27.07,15.55,85.12,8.22,Yes
papaya,alluvial,fruit/bulb formation,30.35,19.02,65.41,3.33,Yes
Paddy (rice),red,harvest,18.37,34.6,50.92,3.48,Yes
potato,black,fruit/bulb formation,40.45,16.73,73.38,7.34,Yes
mustard,red,fruit/bulb formation,38.91,25.14,43.69,4.07,Yes
cabbage,clay,harvest,25.98,21.9,67.1,3.19,Yes
radish,black,maturation,25.51,16.82,56.77,2.56,Yes
cabbage,black,germination,32.74,33.2,42.92,4.15,Yes
beans,loam,fruit/bulb formation,40.82,28.35,49.73,3.32,Yes
beans,red,fruit/bulb formation,37.12,26.3,59.16,3.55,Yes
kiwi,chalky,harvest,32.54,32.59,59.0,2.53,Yes
kiwi,clay,harvest,28.09,22.17,72.68,8.92,Yes
soyabeans,clay,harvest,20.29,29.06,64.94,4.18,Yes
orange,red,germination,33.58,28.09,72.48,4.28,Yes
bananas,sandy,fruit/bulb formation,31.72,26.08,77.51,9.95,Yes
orange,clay,harvest,24.08,19.58,87.06,1.98,No
tomato,alluvial,germination,34.25,15.02,60.69,2.0,Yes
kiwi,black,harvest,15.68,16.43,57.33,1.0,No
tomato,chalky,harvest,25.02,20.49,89.01,9.86,Yes
Maize (corn),loam,germination,35.94,18.5,57.7,2.22,Yes
mustard,black,flowering,40.81,26.89,56.19,0.26,No
Turmeric,chalky,germination,22.25,28.0,55.55,1.77,No
soyabeans,alluvial,fruit/bulb formation,44.86,26.55,88.09,13.65,Yes
bananas,alluvial,harvest,24.73,31.61,86.36,3.19,Yes
beans,loam,fruit/bulb formation,44.34,25.91,53.31,3.16,Yes
Ginger,alluvial,maturation,25.16,24.25,53.92,0.59,No
radish,clay,flowering,42.76,21.53,86.17,14.79,Yes
Paddy (rice),sandy,maturation,31.07,33.0,77.6,3.71,Yes
cabbage,alluvial,maturation,36.57,16.75,54.54,2.31,Yes
radish,loam,maturation,34.76,17.79,73.6,5.39,Yes
Large Cardamom,loam,harvest,25.28,30.13,52.48,3.2,Yes
cabbage,chalky,flowering,34.87,21.23,62.76,3.22,Yes
Turmeric,black,flowering,37.45,17.24,78.26,8.88,Yes
kiwi,chalky,germination,34.44,34.44,72.57,2.44,Yes
Paddy (rice),red,maturation,29.69,34.05,85.7,2.34,Yes
tomato,alluvial,fruit/bulb formation,38.22,26.0,56.55,1.53,No
Maize (corn),black,fruit/bulb formation,42.89,18.41,82.53,17.82,Yes
papaya,clay,maturation,36.96,27.0,63.52,4.44,Yes
radish,clay,harvest,23.25,16.43,44.44,4.99,Yes
beans,black,maturation,25.98,30.55,43.57,2.85,Yes
peas,red,flowering,38.81,22.85,59.74,4.09,Yes
bananas,red,harvest,15.41,32.93,85.2,1.58,No
Paddy (rice),alluvial,harvest,20.17,26.69,45.36,3.8,Yes
Paddy (rice),alluvial,flowering,33.4,28.96,69.3,4.41,Yes
peas,black,fruit/bulb formation,41.49,33.67,60.69,3.33,Yes
Turmeric,sandy,maturation,21.8,19.07,75.45,2.37,Yes
Ginger,clay,flowering,35.73,17.7,69.36,0.77,No
potato,red,flowering,42.68,20.3,54.06,2.64,Yes
Ginger,black,germination,25.21,17.98,78.86,14.98,Yes
Ginger,sandy,harvest,26.69,28.52,64.1,0.6,No
potato,clay,germination,25.9,16.32,77.71,8.79,Yes
Large Cardamom,black,harvest,30.13,19.4,80.86,5.68,Yes
Large Cardamom,chalky,fruit/bulb formation,37.66,16.91,52.14,0.03,No
beans,clay,maturation,30.65,26.98,42.0,3.95,Yes
bananas,black,maturation,28.87,23.12,48.25,4.78,Yes
Large Cardamom,loam,harvest,23.26,16.5,73.32,14.81,Yes
orange,black,harvest,27.06,27.55,69.44,4.58,Yes
Ginger,black,harvest,20.7,24.67,45.14,0.61,No
Maize (corn),loam,germination,28.49,18.57,74.69,15.31,Yes
